id_utilisateur,id_parfum,note,commentaire
1033,104,3,"J'adore ce parfum, il tient super bien !"
1036,172,3,Très floral et agréable à porter en été.
1103,266,5,Un bon parfum mais un peu trop fort.
1156,2,4,"Je ne peux plus m'en passer, c'est mon préféré."
1244,184,3,Un classique mais je préfère quelque chose de plus moderne.
1287,188,3,Un bon parfum mais un peu trop fort.
1230,149,4,"Un parfum incroyable, je le recommande !"
1224,173,3,"Super senteur, tient toute la nuit."
1090,57,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1190,152,3,Très floral et agréable à porter en été.
1055,186,5,"J'adore ce parfum, il tient super bien !"
1188,14,3,Un classique mais je préfère quelque chose de plus moderne.
1091,209,3,Odeur agréable mais trop légère pour moi.
1040,57,5,Un bon parfum mais un peu trop fort.
1200,283,4,"Le meilleur parfum floral, très féminin et élégant."
1095,254,3,Un classique mais je préfère quelque chose de plus moderne.
1047,167,4,"Le meilleur parfum floral, très féminin et élégant."
1274,270,4,"Je ne peux plus m'en passer, c'est mon préféré."
1007,154,4,Très floral et agréable à porter en été.
1199,68,5,"Je ne peux plus m'en passer, c'est mon préféré."
1046,171,4,"Un parfum incroyable, je le recommande !"
1137,280,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1275,277,3,"Le meilleur parfum floral, très féminin et élégant."
1172,287,5,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1010,275,4,Un bon parfum mais un peu trop fort.
1148,155,5,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1172,137,4,"J'adore ce parfum, il tient super bien !"
1234,27,5,"Je ne peux plus m'en passer, c'est mon préféré."
1130,32,3,"J'adore ce parfum, il tient super bien !"
1212,11,4,"J'adore ce parfum, il tient super bien !"
1167,167,4,"Un parfum incroyable, je le recommande !"
1264,273,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1121,1,5,"Super senteur, tient toute la nuit."
1040,68,5,"Je ne peux plus m'en passer, c'est mon préféré."
1079,159,3,"Un parfum incroyable, je le recommande !"
1121,251,4,"Je ne peux plus m'en passer, c'est mon préféré."
1140,142,5,Très floral et agréable à porter en été.
1257,250,3,"J'adore ce parfum, il tient super bien !"
1138,141,3,"Un parfum incroyable, je le recommande !"
1252,236,4,"J'adore ce parfum, il tient super bien !"
1088,193,5,"Je ne peux plus m'en passer, c'est mon préféré."
1058,82,4,Un classique mais je préfère quelque chose de plus moderne.
1192,60,3,"Je ne peux plus m'en passer, c'est mon préféré."
1025,48,4,Odeur agréable mais trop légère pour moi.
1246,280,5,Un bon parfum mais un peu trop fort.
1184,97,3,"Un parfum incroyable, je le recommande !"
1131,109,5,"Bonne tenue, idéal pour les soirées."
1274,229,4,"Un parfum incroyable, je le recommande !"
1249,249,5,"Bonne tenue, idéal pour les soirées."
1117,168,4,Un bon parfum mais un peu trop fort.
1052,204,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1267,32,3,"J'adore ce parfum, il tient super bien !"
1027,257,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1280,261,3,"J'adore ce parfum, il tient super bien !"
1176,241,3,Un peu cher mais ça vaut le coup !
1128,32,5,"Bonne tenue, idéal pour les soirées."
1108,155,4,"Un parfum incroyable, je le recommande !"
1014,288,3,Très floral et agréable à porter en été.
1234,247,5,Odeur agréable mais trop légère pour moi.
1137,215,5,"Le meilleur parfum floral, très féminin et élégant."
1237,23,4,Un bon parfum mais un peu trop fort.
1089,280,5,Très floral et agréable à porter en été.
1275,43,3,"Bonne tenue, idéal pour les soirées."
1266,165,5,"Super senteur, tient toute la nuit."
1005,120,3,"Je ne peux plus m'en passer, c'est mon préféré."
1040,190,3,Un classique mais je préfère quelque chose de plus moderne.
1226,114,4,"Le meilleur parfum floral, très féminin et élégant."
1142,131,4,Très floral et agréable à porter en été.
1058,130,4,Un bon parfum mais un peu trop fort.
1235,24,5,"Le meilleur parfum floral, très féminin et élégant."
1102,82,3,"Je ne peux plus m'en passer, c'est mon préféré."
1158,149,3,Un classique mais je préfère quelque chose de plus moderne.
1168,277,4,"Bonne tenue, idéal pour les soirées."
1078,91,3,"Le meilleur parfum floral, très féminin et élégant."
1036,110,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1050,212,5,Un peu cher mais ça vaut le coup !
1101,135,4,Très floral et agréable à porter en été.
1177,250,4,"Le meilleur parfum floral, très féminin et élégant."
1001,44,3,"Un parfum incroyable, je le recommande !"
1169,272,3,Odeur agréable mais trop légère pour moi.
1185,121,5,Odeur agréable mais trop légère pour moi.
1221,63,3,"Je ne peux plus m'en passer, c'est mon préféré."
1283,44,3,Un peu cher mais ça vaut le coup !
1240,291,5,Un bon parfum mais un peu trop fort.
1211,169,3,"Je ne peux plus m'en passer, c'est mon préféré."
1144,13,4,"J'adore ce parfum, il tient super bien !"
1121,255,5,"Je ne peux plus m'en passer, c'est mon préféré."
1174,35,3,"Je ne peux plus m'en passer, c'est mon préféré."
1262,241,5,"Bonne tenue, idéal pour les soirées."
1062,209,4,"J'adore ce parfum, il tient super bien !"
1277,139,4,"Le meilleur parfum floral, très féminin et élégant."
1227,35,3,"Le meilleur parfum floral, très féminin et élégant."
1180,4,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1231,287,4,"Je ne peux plus m'en passer, c'est mon préféré."
1139,276,3,"Un parfum incroyable, je le recommande !"
1121,48,4,Très floral et agréable à porter en été.
1265,182,5,"Bonne tenue, idéal pour les soirées."
1236,270,4,"Bonne tenue, idéal pour les soirées."
1088,230,3,"Bonne tenue, idéal pour les soirées."
1282,300,3,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1197,42,3,Un bon parfum mais un peu trop fort.
1135,74,4,"Super senteur, tient toute la nuit."
1180,178,4,Très floral et agréable à porter en été.
1105,132,5,Un bon parfum mais un peu trop fort.
1098,187,4,Un classique mais je préfère quelque chose de plus moderne.
1076,137,3,Très floral et agréable à porter en été.
1050,187,5,"J'adore ce parfum, il tient super bien !"
1069,190,5,Très floral et agréable à porter en été.
1270,105,4,"J'adore ce parfum, il tient super bien !"
1027,158,3,"J'adore ce parfum, il tient super bien !"
1177,217,4,"Joli parfum, mais je trouve qu'il ne tient pas longtemps."
1005,11,4,Un bon parfum mais un peu trop fort.
1126,59,4,"J'adore ce parfum, il tient super bien !"
1135,216,5,"Le meilleur parfum floral, très féminin et élégant."
1209,199,5,"J'adore ce parfum, il tient super bien !"
1003,268,5,"Le meilleur parfum floral, très féminin et élégant."
1280,33,4,"Un parfum incroyable, je le recommande !"
1052,185,4,"Je ne peux plus m'en passer, c'est mon préféré."
1130,287,3,Odeur agréable mais trop légère pour moi.
1163,135,4,Odeur agréable mais trop légère pour moi.
1008,15,3,Un bon parfum mais un peu trop fort.
1082,154,5,Odeur agréable mais trop légère pour moi.
1258,288,4,Un classique mais je préfère quelque chose de plus moderne.
1258,288,3,Un bon parfum mais un peu trop fort.
1092,259,4,Très floral et agréable à porter en été.
1133,83,4,"J'adore ce parfum, il tient super bien !"
1283,55,3,"Bonne tenue, idéal pour les soirées."
1152,225,4,"Super senteur, tient toute la nuit."
1124,52,4,Très floral et agréable à porter en été.
1247,143,5,"J'adore ce parfum, il tient super bien !"
1011,126,3,"Super senteur, tient toute la nuit."
1048,137,4,"Le meilleur parfum floral, très féminin et élégant."
1104,286,3,Odeur agréable mais trop légère pour moi.
1214,25,3,Un classique mais je préfère quelque chose de plus moderne.
1230,93,5,Très floral et agréable à porter en été.
1110,239,4,"Un parfum incroyable, je le recommande !"
1104,222,3,"J'adore ce parfum, il tient super bien !"
1283,135,5,"Super senteur, tient toute la nuit."
1180,263,5,"J'adore ce parfum, il tient super bien !"
1052,170,4,"J'adore ce parfum, il tient super bien !"
1256,62,5,"Je ne peux plus m'en passer, c'est mon préféré."
1189,47,4,"Super senteur, tient toute la nuit."
1192,253,3,"Bonne tenue, idéal pour les soirées."
1008,155,4,"Le meilleur parfum floral, très féminin et élégant."
1248,69,3,"Le meilleur parfum floral, très féminin et élégant."
1062,142,4,"J'adore ce parfum, il tient super bien !"
1179,174,3,"Un parfum incroyable, je le recommande !"
1292,77,5,Un peu cher mais ça vaut le coup !
1009,67,4,Un classique mais je préfère quelque chose de plus moderne.
1116,170,3,Un bon parfum mais un peu trop fort.
1176,125,5,Un bon parfum mais un peu trop fort.
1042,298,4,"Un parfum incroyable, je le recommande !"
1152,25,3,Un classique mais je préfère quelque chose de plus moderne.
1201,135,5,"Un parfum incroyable, je le recommande !"
1164,206,3,"Je ne peux plus m'en passer, c'est mon préféré."
1002,265,3,"Je ne peux plus m'en passer, c'est mon préféré."
1219,272,4,"J'adore ce parfum, il tient super bien !"
1072,28,4,"J'adore ce parfum, il tient super bien !"
1084,9,3,"Je ne peux plus m'en passer, c'est mon préféré."
